21,121.043,-40.125,15.873016
172,119.808,-38.561,57.142857
49,120.645,-39.917,28.571429
106,118.562,-37.162,80.952381
107,122.667,-39.538,0
93,120.558,-39.075,7.9365079
17,119.758,-38.243,47.619048
140,119.033,-37.61,66.666667
2,122.483,-41.093,14.761905
151,119.6531,-38.3319,65.873016
109,120.194,-39.3,20.634921
38,118.765,-36.562,24.603175
34,122.8,-41.008,20.634921
2,120.508,-39.417,33.333333
167,118.475,-37.128,74.603175
20,120.194,-39.3,20.634921
125,118.293,-36.127,40.47619
181,120.118,-38.678,31.746032
154,118.422,-36.797,84.126984
201,120.14,-39.001,38.095238
207,122.667,-39.538,0
41,119.29,-37.465,28.571429
34,119.29,-37.465,28.571429
126,119.377,-38.44,65.079365
140,118.293,-36.127,40.47619
156,119.17,-37.78,89.68254
22,119.52,-37.403,28.571429
205,118.572,-36.348,61.111111
3,120.194,-39.3,20.634921
142,121.321,-39.813,0.79365079
62,118.903,-37.388,78.571429
159,118.712,-36.737,76.190476
196,119.8942,-38.7194,48.079365
60,119.818,-38.667,16.666667
97,119.877,-38.032,25.396825
172,121.242,-39.85,10.31746
21,119.033,-37.61,66.666667
62,119.377,-38.44,65.079365
133,119.238,-37.555,44.444444
7,118.918,-37.03,63.492063
14,120.367,-39.325,28.571429
10,119.35,-37.873,55.555556
52,121.368,-40.115,22.222222
204,118.937,-37.183,73.015873
100,122.718,-41.272,12.698413
33,119.905,-39.173,46.031746
92,122.483,-41.093,14.761905
32,118.545,-36.121666,33.333333
40,120.22,-39.137,26.190476
112,119.615,-38.67,51.587302
4,120.22,-39.137,26.190476
82,119.257,-37.897,74.603175
190,119.67,-38.047,40.47619
34,119.238,-37.555,44.444444
78,119.9373,-38.5055,42.063492
139,119.8942,-38.7194,48.079365
174,122.5277,41.3023,32.539683
63,119.758,-38.243,47.619048
46,122.8,-41.008,20.634921
25,122.885,-41.023,25.396825
167,121.6131,-41.5869,25.396825
81,118.937,-37.183,73.015873
166,121.782,-40.778,13.492063
179,119.917,-38.929,58.730159
160,120.14,-39.001,38.095238
209,121.938,-41.17,4.7619048
128,119.6516,-37.8595,44.444444
48,119.238,-37.555,44.444444
11,120.192,-38.375,22.222222
91,120.276,-39.194,49.206349
9,120.197,-38.925,55.555556
26,118.562,-37.162,80.952381
114,120.678,-39.623,21.904762
102,118.35,-35.967,64.285714
139,120.14,-39.001,38.095238
115,120.192,-38.375,22.222222
27,121.368,-40.115,22.222222
92,119.52,-37.403,28.571429
56,122.5277,41.3023,32.539683
63,118.765,-36.562,24.603175
190,122.885,-41.023,25.396825
140,119.221,-37.228,30.15873
25,119.6516,-37.8595,44.444444
165,121.6131,-41.5869,25.396825
71,119.9597,-38.6824,46.301587
177,122.8,-41.008,20.634921
153,119.448,-37.838,48.412698
163,122.718,-41.272,12.698413
154,119.377,-38.44,65.079365
134,122.5277,41.3023,32.539683
